Grade,ScaleScore,Reading,Language/Writing,ELA,Mathematics,Science,Scale Score
3,510,99,99,99,99,,510
3,509,99,99,99,99,,509
3,508,99,99,99,99,,508
3,507,99,99,99,99,,507
3,506,99,99,99,99,,506
3,505,99,99,99,99,,505
3,504,99,99,99,99,,504
3,503,99,99,99,99,,503
3,502,99,99,99,99,,502
3,501,99,99,99,99,,501
3,500,99,99,99,99,,500
3,499,99,99,99,99,,499
3,498,99,99,99,99,,498
3,497,99,99,99,99,,497
3,496,99,99,99,99,,496
3,495,99,99,99,99,,495
3,494,99,99,99,99,,494
3,493,99,99,99,99,,493
3,492,99,99,99,99,,492
3,491,99,99,99,99,,491
3,490,99,99,99,99,,490
3,489,99,99,99,99,,489
3,488,99,99,99,99,,488
3,487,99,99,99,99,,487
3,486,99,99,99,99,,486
3,485,98,99,99,99,,485
3,484,98,99,99,99,,484
3,483,98,99,99,99,,483
3,482,98,99,99,99,,482
3,481,98,99,99,99,,481
3,480,98,99,99,99,,480
3,479,98,99,99,99,,479
3,478,98,99,99,99,,478
3,477,98,99,99,99,,477
3,476,98,99,99,98,,476
3,475,98,99,99,98,,475
3,474,97,99,99,98,,474
3,473,97,99,99,98,,473
3,472,97,99,99,98,,472
3,471,97,99,99,98,,471
3,470,97,99,99,97,,470
3,469,96,99,99,97,,469
3,468,96,99,99,97,,468
3,467,96,98,99,97,,467
3,466,96,98,98,97,,466
3,465,96,98,98,96,,465
3,464,96,98,98,96,,464
3,463,95,98,98,96,,463
3,462,95,97,98,96,,462
3,461,95,97,97,95,,461
3,460,94,97,97,95,,460
3,459,94,97,97,95,,459
3,458,94,96,97,94,,458
3,457,93,96,96,94,,457
3,456,93,96,96,93,,456
3,455,93,95,95,93,,455
3,454,92,95,95,93,,454
3,453,92,94,95,92,,453
3,452,91,94,94,92,,452
3,451,91,93,94,91,,451
3,450,91,93,93,90,,450
3,449,90,92,93,90,,449
3,448,89,91,92,89,,448
3,447,89,91,92,89,,447
3,446,88,90,91,88,,446
3,445,88,89,90,87,,445
3,444,87,89,89,87,,444
3,443,86,88,88,86,,443
3,442,86,88,88,85,,442
3,441,85,87,87,84,,441
3,440,84,86,86,84,,440
3,439,83,85,85,83,,439
3,438,82,84,84,83,,438
3,437,81,83,83,82,,437
3,436,80,82,83,81,,436
3,435,79,81,81,80,,435
3,434,78,80,80,79,,434
3,433,77,79,79,78,,433
3,432,76,78,78,77,,432
3,431,76,77,77,77,,431
3,430,75,76,76,76,,430
3,429,74,75,74,75,,429
3,428,72,74,73,74,,428
3,427,71,72,72,73,,427
3,426,70,71,71,72,,426
3,425,69,69,70,71,,425
3,424,68,68,69,70,,424
3,423,67,67,67,69,,423
3,422,66,66,66,68,,422
3,421,64,65,65,67,,421
3,420,63,63,64,66,,420
3,419,62,62,62,65,,419
3,418,61,61,61,64,,418
3,417,60,59,59,63,,417
3,416,59,58,58,62,,416
3,415,58,56,57,61,,415
3,414,57,55,55,59,,414
3,413,56,53,54,58,,413
3,412,55,52,53,57,,412
3,411,54,50,52,56,,411
3,410,53,49,50,55,,410
3,409,52,48,49,54,,409
3,408,50,47,48,53,,408
3,407,49,46,46,51,,407
3,406,48,45,45,50,,406
3,405,47,43,44,49,,405
3,404,46,42,42,48,,404
3,403,44,41,41,47,,403
3,402,43,39,40,46,,402
3,401,42,38,39,44,,401
3,400,41,37,38,43,,400
3,399,40,36,37,42,,399
3,398,39,35,36,41,,398
3,397,37,34,35,40,,397
3,396,37,33,33,39,,396
3,395,36,32,32,38,,395
3,394,35,30,31,36,,394
3,393,34,29,30,35,,393
3,392,33,28,29,33,,392
3,391,31,27,27,31,,391
3,390,30,26,26,29,,390
3,389,28,25,25,28,,389
3,388,27,24,24,27,,388
3,387,26,23,23,26,,387
3,386,25,22,22,25,,386
3,385,24,22,21,23,,385
3,384,23,21,20,22,,384
3,383,22,20,19,21,,383
3,382,21,19,18,20,,382
3,381,20,18,17,19,,381
3,380,19,17,16,17,,380
3,379,18,16,15,16,,379
3,378,17,16,14,15,,378
3,377,16,15,13,14,,377
3,376,15,14,13,12,,376
3,375,13,13,12,11,,375
3,374,12,13,11,10,,374
3,373,11,12,10,9,,373
3,372,10,12,9,8,,372
3,371,9,11,9,7,,371
3,370,8,10,8,6,,370
3,369,8,10,7,5,,369
3,368,7,9,6,4,,368
3,367,6,8,5,4,,367
3,366,5,8,5,3,,366
3,365,5,7,4,2,,365
3,364,4,7,3,2,,364
3,363,3,6,3,2,,363
3,362,3,6,2,1,,362
3,361,2,5,2,1,,361
3,360,2,5,1,1,,360
3,359,1,4,1,1,,359
3,358,1,4,1,1,,358
3,357,1,4,1,1,,357
3,356,1,3,1,1,,356
3,355,1,3,1,1,,355
3,354,1,2,1,1,,354
3,353,1,2,1,1,,353
3,352,1,1,1,1,,352
3,351,1,1,1,1,,351
3,350,1,1,1,1,,350
3,349,1,1,1,1,,349
3,348,1,1,1,1,,348
3,347,1,1,1,1,,347
3,346,1,1,1,1,,346
3,345,1,1,1,1,,345
4,540,99,99,99,99,,540
4,539,99,99,99,99,,539
4,538,99,99,99,99,,538
4,537,99,99,99,99,,537
4,536,99,99,99,99,,536
4,535,99,99,99,99,,535
4,534,99,99,99,99,,534
4,533,99,99,99,99,,533
4,532,99,99,99,99,,532
4,531,99,99,99,99,,531
4,530,99,99,99,99,,530
4,529,99,99,99,99,,529
4,528,99,99,99,99,,528
4,527,99,99,99,99,,527
4,526,99,99,99,99,,526
4,525,99,99,99,99,,525
4,524,99,99,99,99,,524
4,523,99,99,99,99,,523
4,522,99,99,99,99,,522
4,521,99,99,99,99,,521
4,520,99,99,99,99,,520
4,519,99,99,99,99,,519
4,518,99,99,99,99,,518
4,517,99,99,99,99,,517
4,516,99,99,99,99,,516
4,515,99,99,99,99,,515
4,514,99,99,99,99,,514
4,513,99,99,99,99,,513
4,512,99,99,99,99,,512
4,511,99,99,99,99,,511
4,510,99,99,99,99,,510
4,509,99,99,99,98,,509
4,508,99,99,99,98,,508
4,507,99,99,99,98,,507
4,506,99,99,99,98,,506
4,505,99,99,99,98,,505
4,504,98,98,99,98,,504
4,503,98,98,99,98,,503
4,502,98,98,99,97,,502
4,501,98,98,99,97,,501
4,500,98,98,99,97,,500
4,499,98,98,99,97,,499
4,498,97,98,99,97,,498
4,497,97,97,99,96,,497
4,496,97,97,98,96,,496
4,495,97,97,98,96,,495
4,494,97,97,98,95,,494
4,493,96,96,98,95,,493
4,492,96,96,98,95,,492
4,491,96,96,97,95,,491
4,490,96,96,97,94,,490
4,489,95,95,97,94,,489
4,488,95,95,97,94,,488
4,487,94,95,96,93,,487
4,486,94,94,96,93,,486
4,485,94,94,96,92,,485
4,484,93,94,95,92,,484
4,483,93,93,95,92,,483
4,482,92,93,94,91,,482
4,481,92,92,94,91,,481
4,480,91,92,94,90,,480
4,479,91,91,94,90,,479
4,478,90,91,94,89,,478
4,477,90,90,93,88,,477
4,476,89,90,92,87,,476
4,475,89,89,91,86,,475
4,474,88,89,90,86,,474
4,473,87,88,90,85,,473
4,472,87,87,89,85,,472
4,471,86,87,88,84,,471
4,470,85,86,88,84,,470
4,469,85,85,87,84,,469
4,468,84,85,86,83,,468
4,467,83,84,86,83,,467
4,466,83,83,85,82,,466
4,465,82,82,84,81,,465
4,464,81,82,83,80,,464
4,463,80,81,82,80,,463
4,462,79,80,81,79,,462
4,461,78,79,80,78,,461
4,460,77,78,79,77,,460
4,459,77,77,78,77,,459
4,458,76,76,77,76,,458
4,457,75,75,76,75,,457
4,456,74,74,75,74,,456
4,455,73,73,74,73,,455
4,454,72,72,73,73,,454
4,453,71,71,72,72,,453
4,452,70,70,71,71,,452
4,451,69,69,70,70,,451
4,450,68,68,69,69,,450
4,449,67,67,68,69,,449
4,448,66,67,67,68,,448
4,447,65,66,65,67,,447
4,446,64,65,65,66,,446
4,445,63,64,63,65,,445
4,444,62,63,62,64,,444
4,443,61,62,61,63,,443
4,442,60,61,60,62,,442
4,441,59,60,59,61,,441
4,440,58,59,58,60,,440
4,439,57,57,57,59,,439
4,438,56,56,55,58,,438
4,437,55,55,54,57,,437
4,436,54,54,53,56,,436
4,435,53,53,52,56,,435
4,434,52,52,51,55,,434
4,433,51,51,50,54,,433
4,432,50,50,49,53,,432
4,431,49,48,47,52,,431
4,430,48,47,46,51,,430
4,429,47,46,45,50,,429
4,428,46,45,44,49,,428
4,427,45,44,43,48,,427
4,426,44,43,42,47,,426
4,425,43,42,41,46,,425
4,424,42,41,40,45,,424
4,423,41,40,39,44,,423
4,422,40,38,38,43,,422
4,421,39,37,37,42,,421
4,420,38,36,35,41,,420
4,419,37,35,35,40,,419
4,418,36,34,34,39,,418
4,417,35,33,33,37,,417
4,416,34,32,32,36,,416
4,415,33,31,31,36,,415
4,414,32,30,31,35,,414
4,413,31,29,30,34,,413
4,412,30,28,28,33,,412
4,411,29,28,27,32,,411
4,410,29,27,26,31,,410
4,409,28,26,25,29,,409
4,408,27,25,24,28,,408
4,407,26,24,23,27,,407
4,406,26,23,23,27,,406
4,405,25,22,22,26,,405
4,404,24,22,21,25,,404
4,403,23,21,20,23,,403
4,402,22,20,19,22,,402
4,401,21,19,18,21,,401
4,400,20,19,17,20,,400
4,399,20,18,17,20,,399
4,398,19,17,16,19,,398
4,397,18,17,15,17,,397
4,396,17,16,15,16,,396
4,395,16,15,14,15,,395
4,394,16,15,13,14,,394
4,393,15,14,13,14,,393
4,392,14,13,12,13,,392
4,391,13,13,11,12,,391
4,390,13,12,11,11,,390
4,389,12,11,10,10,,389
4,388,11,11,10,9,,388
4,387,10,10,9,9,,387
4,386,10,10,8,8,,386
4,385,9,9,8,7,,385
4,384,9,9,8,7,,384
4,383,8,8,7,6,,383
4,382,7,8,7,5,,382
4,381,7,8,6,5,,381
4,380,6,7,6,4,,380
4,379,6,7,5,4,,379
4,378,6,7,5,3,,378
4,377,5,6,4,3,,377
4,376,5,6,4,2,,376
4,375,4,6,4,2,,375
4,374,4,5,3,2,,374
4,373,4,5,3,2,,373
4,372,3,4,3,1,,372
4,371,3,4,2,1,,371
4,370,3,4,2,1,,370
4,369,3,4,2,1,,369
4,368,2,3,2,1,,368
4,367,2,3,1,1,,367
4,366,2,3,1,1,,366
4,365,2,3,1,1,,365
4,364,1,2,1,1,,364
4,363,1,2,1,1,,363
4,362,1,2,1,1,,362
4,361,1,2,1,1,,361
4,360,1,2,1,1,,360
4,359,1,1,1,1,,359
4,358,1,1,1,1,,358
4,357,1,1,1,1,,357
4,356,1,1,1,1,,356
4,355,1,1,1,1,,355
4,354,1,1,1,1,,354
4,353,1,1,1,1,,353
4,352,1,1,1,1,,352
4,351,1,1,1,1,,351
4,350,1,1,1,1,,350
5,590,99,99,99,99,99,590
5,589,99,99,99,99,99,589
5,588,99,99,99,99,99,588
5,587,99,99,99,99,99,587
5,586,99,99,99,99,99,586
5,585,99,99,99,99,99,585
5,584,99,99,99,99,99,584
5,583,99,99,99,99,99,583
5,582,99,99,99,99,99,582
5,581,99,99,99,99,99,581
5,580,99,99,99,99,99,580
5,579,99,99,99,99,99,579
5,578,99,99,99,99,99,578
5,577,99,99,99,99,99,577
5,576,99,99,99,99,99,576
5,575,99,99,99,99,99,575
5,574,99,99,99,99,99,574
5,573,99,99,99,99,99,573
5,572,99,99,99,99,99,572
5,571,99,99,99,99,99,571
5,570,99,99,99,99,99,570
5,569,99,99,99,99,99,569
5,568,99,99,99,99,99,568
5,567,99,99,99,99,99,567
5,566,99,99,99,99,99,566
5,565,99,99,99,99,99,565
5,564,99,99,99,99,99,564
5,563,99,99,99,99,99,563
5,562,99,99,99,99,99,562
5,561,99,99,99,99,99,561
5,560,99,99,99,99,99,560
5,559,99,99,99,99,99,559
5,558,99,99,99,99,99,558
5,557,99,99,99,99,98,557
5,556,99,99,99,99,98,556
5,555,99,99,99,99,98,555
5,554,99,99,99,99,98,554
